Product_id,Discounted price,Actual price,Discount %,Rating,Rating count,User id,savings,total revenue,top rating products,top  20  products  by revenue,
B07JW9H4J986,"$33,999.00","$33,999.00",0%,4.30,"17,415",AGGDISUCB6COXRY7SCEYULDTYJSA,$0.00,"$592,092,585.00",high rated,,
B07JW9H4J984,"$32,999.00","$44,999.00",27%,4.20,"45,238",AH3ZH5IE4MTFB3T33O3QSGLU4BBA,"$12,000.00","$1,492,808,762.00",high rated,,
B07JW9H4J985,"$32,999.00","$47,990.00",31%,4.30,"4,703",AH2ZL3XW4QRBYIRYW5ILLXDH6A5Q,"$14,991.00","$155,194,297.00",high rated,,
B07JW9H4J981,"$32,990.00","$47,900.00",31%,4.30,"7,109",AEGZSNGSJJAEMJ3RRNVZTKUILOHA,"$14,910.00","$234,525,910.00",high rated,,
B07JW9H4J982,"$32,990.00","$56,790.00",42%,4.30,567,AEGZAYS4PGUN7JSO2F4KZDPBJTPQ,"$23,800.00","$18,705,330.00",high rated,,
B07JW9H4J983,"$32,990.00","$54,990.00",40%,4.10,"1,555",AHTVBHRLCBX5E5GBPONFYZLCNBGQ,,"$51,299,450.00",high rated,,
B07JW9H4J980,"$31,999.00","$49,999.00",36%,4.30,"21,252",AFRFZ7MZMMLKCQJ726M5IWMCUUKA,"$18,000.00","$680,042,748.00",high rated,,
B07JW9H4J979,"$30,990.00","$52,900.00",41%,4.30,"7,109",AFCMYWUZMOK6KHPFLL4DTRV2KHWA,"$21,910.00","$220,307,910.00",high rated,,
B07JW9H4J98,"$30,990.00","$49,990.00",38%,4.30,"1,376",AHSDVZ3ZSHUMFGDLVVGATDIWKHTA,"$19,000.00","$42,642,240.00",high rated,,
B07JW9H4J977,"$29,999.00","$39,999.00",25%,4.20,"7,298",AEIFMHDK4ETHLYWSV6TUFNSJU4MQ,"$10,000.00","$218,932,702.00",high rated,,
B07JW9H4J978,"$29,999.00","$50,999.00",41%,4.40,"1,712",AGRV2QBB6JEZZOFFU2SXQ6MD4FKQ,"$21,000.00","$51,358,288.00",high rated,,
B07JW9H4J975,"$29,990.00","$65,000.00",54%,4.10,211,AE22Y3KIS7SE6LI3HE2VS6WWPU4Q,"$35,010.00","$6,327,890.00",high rated,,
B07JW9H4J976,"$29,990.00","$39,990.00",25%,4.30,"8,399",AFTFXABT3BDNGAMCE5GCZ5BIZOGQ,"$10,000.00","$251,886,010.00",high rated,,
B07JW9H4J972,"$28,999.00","$28,999.00",0%,4.30,"17,415",AH3PBQI6DTRU4WDPCYH47DK2JQ7Q,$0.00,"$505,017,585.00",high rated,,
B07JW9H4J973,"$28,999.00","$28,999.00",0%,4.30,"17,415",AE3JIMEZHC22EA7YZAUQF7VOUIFQ,$0.00,"$505,017,585.00",high rated,,
B07JW9H4J974,"$28,999.00","$34,999.00",17%,4.40,"20,311",AF3JE3MHGVCOATHASUTMN3VGF3UQ,"$6,000.00","$588,998,689.00",high rated,,
B07JW9H4J971,"$27,999.00","$40,990.00",32%,4.30,"4,703",AHY6AK5LXBTGXDDXSU57ISMDW55Q,"$12,991.00","$131,679,297.00",high rated,,
B07JW9H4J969,"$26,999.00","$42,999.00",37%,4.20,"45,238",AGMJ6TDLOVZIR5ZU65TLJFSLG2BQ,"$16,000.00","$1,221,380,762.00",high rated,,
B07JW9H4J97,"$26,999.00","$42,999.00",37%,4.20,"1,510",AE6CROVUGPHR7BRT5JASNRWSPBVQ,"$16,000.00","$40,768,490.00",high rated,,
B07JW9H4J970,"$26,999.00","$37,999.00",29%,4.60,"2,886",AG22QSZIES6VEC3IVAGKQD4N7WHA,"$11,000.00","$77,919,114.00",high rated,,
B07JW9H4J967,"$24,999.00","$31,999.00",22%,4.20,"34,899",AFYFQI7B55R5LXO2D3JPD6FBNUCA,"$7,000.00","$872,440,101.00",high rated,,
B07JW9H4J968,"$24,999.00","$35,999.00",31%,4.20,"32,840",AH7NTBDGAMGOFFADEVWJL3O4YQ2A,"$11,000.00","$820,967,160.00",high rated,,
B07JW9H4J966,"$24,990.00","$51,990.00",52%,4.20,"2,951",AGQIXFPHABUZ2WPETGRYDB7VSMXA,"$27,000.00","$73,745,490.00",high rated,,
B07JW9H4J965,"$24,499.00","$50,000.00",51%,3.90,"3,518",AEYLB6L333GKGCRGR5N6NDB335TQ,"$25,501.00","$86,187,482.00",need_improvement,,
B07JW9H4J963,"$23,999.00","$34,990.00",31%,4.30,"4,703",AHPG3AAPVL7HKSID4IPJ5MDAMAJA,"$10,991.00","$112,867,297.00",high rated,,
B07JW9H4J964,"$23,999.00","$32,999.00",27%,3.90,"8,866",AEMEBARDKUUI7MQSY2HXMC2DCT4A,"$9,000.00","$212,775,134.00",need_improvement,,
B07JW9H4J962,"$22,999.00","$28,999.00",21%,3.90,"25,824",AHTYSJ2UVZO5LT77K37P423ZMQXQ,"$6,000.00","$593,926,176.00",need_improvement,,
B07JW9H4J960,"$21,999.00","$29,999.00",27%,4.20,"32,840",AFEQNJUAIGTASKXSGSUUOTDMOMDQ,"$8,000.00","$722,447,160.00",high rated,,
B07JW9H4J961,"$21,999.00","$29,999.00",27%,4.20,"32,840",AF526AFELIHNPVD5FL7SX5YLF35A,"$8,000.00","$722,447,160.00",high rated,,
B07JW9H4J96,"$21,990.00","$34,990.00",37%,4.30,"1,657",AHQIYGWISGS2IQAQ3OM4IZHKIV4Q,"$13,000.00","$36,437,430.00",high rated,,
B07JW9H4J957,"$20,999.00","$26,999.00",22%,3.90,"25,824",AEL5HU25IP7YT5WK3LXNC5M36NBA,"$6,000.00","$542,278,176.00",need_improvement,,
B07JW9H4J958,"$20,999.00","$29,990.00",30%,4.30,"9,499",AE6QIRYYQXWBXRANCBNV7UQU3C3Q,"$8,991.00","$199,469,501.00",high rated,,
B07JW9H4J959,"$20,999.00","$29,990.00",30%,4.30,"9,499",AFGPLYW6L6FYUGQDND7QGCRL2H2Q,"$8,991.00","$199,469,501.00",high rated,,
B07JW9H4J956,"$20,990.00","$44,990.00",53%,4.10,"1,259",AF5XVR5OXJ67BJZGIOYFMQDQIGGQ,"$24,000.00","$26,426,410.00",high rated,,
B07JW9H4J954,"$19,999.00","$24,999.00",20%,3.90,"25,824",AEXCQMYUSJFK3Z4POJQTN7YOHRVQ,"$5,000.00","$516,454,176.00",need_improvement,,
B07JW9H4J955,"$19,999.00","$27,990.00",29%,4.30,"9,499",AGZCXPBXKXIEQTY4AH7KM6OPQW3Q,"$7,991.00","$189,970,501.00",high rated,,
B07JW9H4J952,"$18,999.00","$24,990.00",24%,4.30,"4,702",AGOWF5LLDDKUJTPYF4WOO5RKT4JA,"$5,991.00","$89,333,298.00",high rated,,
B07JW9H4J953,"$18,999.00","$35,000.00",46%,4.00,"1,001",AEW3QDKETJO6JJTGK5JI2ZW2PA3Q,"$16,001.00","$19,017,999.00",high rated,,
B07JW9H4J951,"$18,990.00","$40,990.00",54%,4.20,"6,659",AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,"$22,000.00","$126,454,410.00",high rated,,
B07JW9H4J950,"$18,499.00","$25,999.00",29%,4.10,"22,318",AGPLH6XWDVSULDCZOFJRM6XNTNXQ,"$7,500.00","$412,860,682.00",high rated,,
B07JW9H4J95,"$17,999.00","$21,990.00",18%,4.00,"21,350",AE3GJ4N2G2K4Q6JXYPIQSH4344CQ,"$3,991.00","$384,278,650.00",high rated,,
B07JW9H4J944,"$16,999.00","$25,999.00",35%,4.20,"32,840",AEKSR7FVH2XR55S47DZZLAFA4KHQ,"$9,000.00","$558,247,160.00",high rated,,
B07JW9H4J945,"$16,999.00","$24,999.00",32%,4.10,"22,318",AEE5XXQWRVZSVDNYTBDR3BY4PHAA,"$8,000.00","$379,383,682.00",high rated,,
B07JW9H4J946,"$16,999.00","$24,999.00",32%,4.10,"22,318",AFU4JDUZDD6N5MUGLULCRLUQLHDQ,"$8,000.00","$379,383,682.00",high rated,,
B07JW9H4J947,"$16,999.00","$20,999.00",19%,4.10,"31,822",AE35OI7LDTOKU32IFQ3GQX5AOKFQ,"$4,000.00","$540,942,178.00",high rated,,
B07JW9H4J948,"$16,999.00","$20,999.00",19%,4.10,"31,822",AFUWVHBC2SCTJ7VEAWEIEYW5V4KA,"$4,000.00","$540,942,178.00",high rated,,
B07JW9H4J949,"$16,999.00","$20,999.00",19%,4.10,"31,822",AEWV35IS77VEIX4T7GIMS7WUPLLA,"$4,000.00","$540,942,178.00",high rated,,
B07JW9H4J942,"$16,499.00","$20,999.00",21%,4.00,"21,350",AEZH7UN4SKV7VKJ3NYH7D7CBHA4A,"$4,500.00","$352,253,650.00",high rated,,
B07JW9H4J943,"$16,499.00","$20,990.00",21%,4.00,"21,350",AFD574B3LT7V3OO5CRMLVYUWVDLQ,"$4,491.00","$352,253,650.00",high rated,,
B07JW9H4J941,"$15,999.00","$21,999.00",27%,4.20,"34,899",AGZU6C2XL3X2B4NEWLQJDSJ75QGA,"$6,000.00","$558,349,101.00",high rated,,
B07JW9H4J940,"$15,990.00","$23,990.00",33%,4.30,"1,035",AGD2H2SMDLQK62MH7BFWQ2INBP2A,"$8,000.00","$16,549,650.00",high rated,,
B07JW9H4J937,"$15,499.00","$18,999.00",18%,4.10,"19,252",AHH26HAPTOI5Z52DFLNYU5TOLWCQ,"$3,500.00","$298,386,748.00",high rated,,
B07JW9H4J938,"$15,499.00","$20,999.00",26%,4.10,"19,252",AEDCAWW6MGT4UO4RRH7NOK3EH5SA,"$5,500.00","$298,386,748.00",high rated,,
B07JW9H4J939,"$15,499.00","$18,999.00",18%,4.10,"19,252",AGGSPBWHNKPM222VK2PCN4PHRMWQ,"$3,500.00","$298,386,748.00",high rated,,
B07JW9H4J94,"$15,499.00","$20,999.00",26%,4.10,"19,253",AENFXWHBX7R7PZG2Q67PXLFGPHAQ,"$5,500.00","$298,402,247.00",high rated,,
B07JW9H4J934,"$15,490.00","$20,900.00",26%,4.30,"16,299",AH3JUIQYDAPZIELYMMCLQIF66NDA,"$5,410.00","$252,471,510.00",high rated,,
B07JW9H4J935,"$15,490.00","$20,990.00",26%,4.20,"32,916",AHZWXUWE3RGLDH4JJUK3HT3VMBJA,"$5,500.00","$509,868,840.00",high rated,,
B07JW9H4J936,"$15,490.00","$20,990.00",26%,4.20,"32,916",AESKYYTGWJ7VJASMOE6QQUDXSITQ,"$5,500.00","$509,868,840.00",high rated,,
B07JW9H4J933,"$14,999.00","$14,999.00",0%,4.30,"27,508",AGPVN62QTZNEHCVDPA4237YQ5VMQ,$0.00,"$412,592,492.00",high rated,,
B07JW9H4J924,"$13,999.00","$24,999.00",44%,4.20,"45,238",AGU76WKSU62DUNTPCMTC4FCUNRTQ,"$11,000.00","$633,286,762.00",high rated,,
B07JW9H4J925,"$13,999.00","$19,499.00",28%,4.10,"18,998",AHBB6UBYHJ5FH2BUFQ2BCXHWQFJQ,"$5,500.00","$265,953,002.00",high rated,,
B07JW9H4J926,"$13,999.00","$19,999.00",30%,4.10,"19,252",AEAX7BRPDS3NSYCZQBQDL5DGZDVA,"$6,000.00","$269,508,748.00",high rated,,
B07JW9H4J927,"$13,999.00","$19,499.00",28%,4.10,"18,998",AGXGYUPGIFDGD6LPTVB2XVE7JWNA,"$5,500.00","$265,953,002.00",high rated,,
B07JW9H4J928,"$13,999.00","$19,999.00",30%,4.10,"19,252",AGQT36ICAXRXAG4IXZUULJZIH4XQ,"$6,000.00","$269,508,748.00",high rated,,
B07JW9H4J929,"$13,999.00","$19,499.00",28%,4.10,"18,998",AGO7FWIRBIVDDEAYX2UI6DP4G6GA,"$5,500.00","$265,953,002.00",high rated,,
B07JW9H4J93,"$13,999.00","$15,999.00",13%,3.90,"2,180",AHVAI77H64YMRRMLITKJ5FPYALPQ,"$2,000.00","$30,517,820.00",need_improvement,,
B07JW9H4J930,"$13,999.00","$15,999.00",13%,3.90,"2,180",AFSM3ANFFBHN7NCB3JYF4RZ7YQAQ,"$2,000.00","$30,517,820.00",need_improvement,,
B07JW9H4J931,"$13,999.00","$19,499.00",28%,4.10,"18,998",AGHW3JDEF6JIRC4HB43UDMKOFXZQ,"$5,500.00","$265,953,002.00",high rated,,
B07JW9H4J932,"$13,999.00","$24,999.00",44%,4.20,"45,237",AH2AVPUOI6A3TMI5OK6YM4II7HXA,"$11,000.00","$633,272,763.00",high rated,,
B07JW9H4J923,"$13,990.00","$28,900.00",52%,4.50,7,AENDUJB5OZB6K4DYJJ6JCWFTSRCQ,"$14,910.00","$97,930.00",high rated,,
B07JW9H4J921,"$13,490.00","$21,990.00",39%,4.30,"11,976",AGVKCM3HYXDY24CDSPW7OCLKBY5Q,"$8,500.00","$161,556,240.00",high rated,,
B07JW9H4J922,"$13,490.00","$22,900.00",41%,4.30,"16,299",AHPRNMXR66DD77CEYCS5XWD6SIIQ,"$9,410.00","$219,873,510.00",high rated,,
B07JW9H4J914,"$12,999.00","$17,999.00",28%,4.10,"18,998",AFBPBZLHAOY5FLNKXSMY7R5NGW4A,"$5,000.00","$246,955,002.00",high rated,,
B07JW9H4J915,"$12,999.00","$15,999.00",19%,4.20,"13,246",AHN6E6FWRU4KL6CALQVHR3IUMIAQ,"$3,000.00","$172,184,754.00",high rated,,
B07JW9H4J916,"$12,999.00","$17,999.00",28%,4.10,"50,772",AEY3XQ3NAOS4ZK53VDEVWJ72UYMA,"$5,000.00","$659,985,228.00",high rated,,
B07JW9H4J917,"$12,999.00","$17,999.00",28%,4.10,"18,998",AGEN4ASYZOLVEWYV3Q2CJR42ZOEQ,"$5,000.00","$246,955,002.00",high rated,,
B07JW9H4J918,"$12,999.00","$13,499.00",4%,4.10,"56,098",AFQ44B5ISCXUWKFHZL7HTRTYWZKA,$500.00,"$729,217,902.00",high rated,,
B07JW9H4J919,"$12,999.00","$18,999.00",32%,4.10,"50,772",AFAVJJJRDJZCFKPZ4ACGTYBLRJBQ,"$6,000.00","$659,985,228.00",high rated,,
B07JW9H4J92,"$12,999.00","$18,999.00",32%,4.10,"50,772",AH2QFGBZYKJDYPAKHEEXUKLZDYTQ,"$6,000.00","$659,985,228.00",high rated,,
B07JW9H4J920,"$12,999.00","$18,999.00",32%,4.10,"50,772",AHE44P32QOQ7RN7NMKUUNY5UCWUQ,"$6,000.00","$659,985,228.00",high rated,,
B07JW9H4J913,"$12,499.00","$22,990.00",46%,4.30,"1,611",AHKONLROYYEFMPWU5WN7NC5VZIEQ,"$10,491.00","$20,135,889.00",high rated,,
B07JW9H4J912,"$12,490.00","$15,990.00",22%,4.20,"58,506",AGASWLGAJEYSNHPWSR74GSDXU5JQ,"$3,500.00","$730,739,940.00",high rated,,
B07JW9H4J911,"$12,000.00","$29,999.00",60%,4.30,"4,744",AEW6MM2KKYNQQXXAFQH4YNVRUBMQ,"$17,999.00","$56,928,000.00",high rated,,
B07JW9H4J910,"$11,990.00","$31,990.00",63%,4.20,64,AERUC72DWRPOM2EHX3YBTBPKYV7A,"$20,000.00","$767,360.00",high rated,,
B07JW9H4J909,"$10,999.00","$14,999.00",27%,4.10,"18,998",AHE52HKDGFCWSQO7STU7NRWWHTWQ,"$4,000.00","$208,959,002.00",high rated,,
B07JW9H4J91,"$10,999.00","$14,999.00",27%,4.10,"18,998",AF2PEMNSWZSUIHRAPJGOPJ7GAF6A,"$4,000.00","$208,959,002.00",high rated,,
B07JW9H4J908,"$10,990.00","$19,990.00",45%,3.70,129,AFLBLMPC4WUEDUWHLHBQVY5AKH2A,"$9,000.00","$1,417,710.00",need_improvement,,
B07JW9H4J907,"$10,901.00","$30,990.00",65%,4.10,398,AH5JH2QLZDYXTHIDXBBLTDHQUALA,"$20,089.00","$4,338,598.00",high rated,,
B07JW9H4J905,"$10,499.00","$19,499.00",46%,4.20,"1,510",AH7LW3BCJBLCZTMWBOFL33UGIRBQ,"$9,000.00","$15,853,490.00",high rated,,
B07JW9H4J906,"$10,499.00","$13,499.00",22%,4.20,284,AGXE6V4HYRRDGH33H3NE7PGF4D4Q,"$3,000.00","$2,981,716.00",high rated,,
B07JW9H4J904,"$10,389.00","$32,000.00",68%,4.40,"41,398",AH4WZKCWB4OVUG2LZUAFGWSVS4WQ,"$21,611.00","$430,083,822.00",high rated,,
B07JW9H4J903,"$10,099.00","$19,110.00",47%,4.30,"2,623",AFDSTWW5X5LM7QSJ7TE2GDJEZHSA,"$9,011.00","$26,489,677.00",high rated,,
B07JW9H4J901,"$9,999.00","$27,990.00",64%,4.20,"1,269",AGAVEOWLSMUI7WPD3OHUVNHQ233Q,"$17,991.00","$12,688,731.00",high rated,,
B07JW9H4J902,"$9,999.00","$12,999.00",23%,4.20,"6,088",AGQTTQWEOQLPO3PV6XEDCWZHVFNQ,"$3,000.00","$60,873,912.00",high rated,,
B07JW9H4J90,"$9,499.00","$11,999.00",21%,4.20,284,AHVEG7WUVHTOAT7YZ2Z6VNJCBYYA,"$2,500.00","$2,697,716.00",high rated,,
B07JW9H4J900,"$9,499.00","$11,999.00",21%,4.20,284,AE5DHPL6NSPL4NZU5YM6P2U67ZSQ,"$2,500.00","$2,697,716.00",high rated,,
B07JW9H4J899,"$9,490.00","$15,990.00",41%,3.90,"10,480",AF3XUWT2436N7RHNRA7RNALJB74Q,"$6,500.00","$99,455,200.00",need_improvement,,
B07JW9H4J894,"$8,999.00","$18,999.00",53%,4.00,"6,347",AF3JE3MHGVCOATHASUTMN3VGF3UQ,"$10,000.00","$57,116,653.00",high rated,,
B07JW9H4J895,"$8,999.00","$11,999.00",25%,4.00,"12,796",AFXUMOU3PMUQEHSYTB7SBVYFN34Q,"$3,000.00","$115,151,204.00",high rated,,
B07JW9H4J896,"$8,999.00","$11,999.00",25%,4.00,"12,796",AFBLFBJHOW7CQX62SQP7S3QJCFVA,"$3,000.00","$115,151,204.00",high rated,,
B07JW9H4J897,"$8,999.00","$11,999.00",25%,4.00,"12,796",AFQUZXA3JPEY4SN7Y772C3Q55IWA,"$3,000.00","$115,151,204.00",high rated,,
B07JW9H4J898,"$8,999.00","$13,499.00",33%,3.80,"3,145",AF3GETWWBGMLASY2KKNNBS2VO6DQ,"$4,500.00","$28,301,855.00",need_improvement,,
B07JW9H4J893,"$8,990.00","$18,990.00",53%,3.90,350,AG3TIHPAHFYCX3XQ3TQ2OB5IAJXQ,"$10,000.00","$3,146,500.00",need_improvement,,
B07JW9H4J890,"$8,499.00","$15,999.00",47%,4.30,592,AFUR3EWCD6OMWNI7EGYK62PDJL6Q,"$7,500.00","$5,031,408.00",high rated,,
B07JW9H4J891,"$8,499.00","$12,999.00",35%,4.10,"6,662",AFOJ6DLJQNWRLJIVLU25OZILE6RA,"$4,500.00","$56,620,338.00",high rated,,
B07JW9H4J892,"$8,499.00","$11,999.00",29%,3.90,276,AHQ4Q75NBEWOM4OWOXUZW7V247NQ,"$3,500.00","$2,345,724.00",need_improvement,,
B07JW9H4J89,"$8,349.00","$9,625.00",13%,3.80,"3,652",AGTDSNT2FKVYEPDPXAA673AIS44A,"$1,276.00","$30,490,548.00",need_improvement,,
B07JW9H4J888,"$7,999.00","$14,990.00",47%,4.30,457,AEC5PUIW4OSIDDQED7WLXG2S7TOQ,"$6,991.00","$3,655,543.00",high rated,,
B07JW9H4J889,"$7,999.00","$15,999.00",50%,3.80,"3,022",AFDRGTOQGLLJ3FEYVGQHQY5XYERQ,"$8,000.00","$24,172,978.00",need_improvement,,
B07JW9H4J887,"$7,998.00","$11,999.00",33%,3.80,125,AF5VUXGXGK7JT2XRO7HGTFDQY5OA,"$4,001.00","$999,750.00",need_improvement,,
B07JW9H4J886,"$7,915.00","$9,999.00",21%,4.30,"1,376",AE2TSJXRS5BXE6X7WFS7HOFJKCOQ,"$2,084.00","$10,891,040.00",high rated,,
B07JW9H4J885,"$7,499.00","$7,999.00",6%,4.00,"30,907",AETEHTDQT4GMZAJW5NTRO77AQBZA,$500.00,"$231,771,593.00",high rated,,
B07JW9H4J884,"$7,390.00","$20,000.00",63%,4.10,"2,581",AHGHFJXREBY4F2LI3M6SFLSWC75Q,"$12,610.00","$19,073,590.00",high rated,,
B07JW9H4J883,"$7,299.00","$19,125.00",62%,3.40,902,AGHKFSJFKP7E3JJOXV3C6UPGZKQA,"$11,826.00","$6,583,698.00",need_improvement,,
B07JW9H4J881,"$6,999.00","$12,999.00",46%,4.20,"4,003",AEITVIFC7WZAEQDIVWPB4KUGKLRQ,"$6,000.00","$28,016,997.00",high rated,,
B07JW9H4J882,"$6,999.00","$16,990.00",59%,3.80,110,AHILWO2P2PT6EKK2HS4EALRJIQ7Q,"$9,991.00","$769,890.00",need_improvement,,
B07JW9H4J880,"$6,549.00","$13,999.00",53%,4.00,"2,961",AGPO6ZBQ2HPAKJULWTNQSP7FOBZQ,"$7,450.00","$19,391,589.00",high rated,,
B07JW9H4J878,"$6,499.00","$8,999.00",28%,4.00,"7,807",AG2V3QSA4MVD6RPA5UGUMYMH3PXQ,"$2,500.00","$50,737,693.00",high rated,,
B07JW9H4J879,"$6,499.00","$8,999.00",28%,4.00,"7,807",AEJHP62NHRVRCWIMXUODSZLSBNUA,"$2,500.00","$50,737,693.00",high rated,,
B07JW9H4J88,"$6,499.00","$8,999.00",28%,4.00,"7,807",AFO7LXSMPQDD7JG6I5QARG5I4N6A,"$2,500.00","$50,737,693.00",high rated,,
B07JW9H4J877,"$6,490.00","$9,990.00",35%,4.00,27,AHVAHTQWBVQ564OYZLFO3ABDUUMQ,"$3,500.00","$175,230.00",high rated,,
B07JW9H4J875,"$6,299.00","$13,750.00",54%,4.20,"2,014",AHV4RBRC5YCXKIOQC2Y4PFTQPZJQ,"$7,451.00","$12,686,186.00",high rated,,
B07JW9H4J876,"$6,299.00","$15,270.00",59%,4.10,"3,233",AH2JOLKV3633COTRT3L6472Q7MIA,"$8,971.00","$20,364,667.00",high rated,,
B07JW9H4J874,"$5,998.00","$7,999.00",25%,4.20,"30,355",AG56BWR4QA24HMU37HCG7LXA5BIQ,"$2,001.00","$182,069,290.00",high rated,,
B07JW9H4J873,"$5,899.00","$7,005.00",16%,3.60,"4,199",AH6MHH7KNPHZPN7D5YSSWDQITIMQ,"$1,106.00","$24,769,901.00",need_improvement,,
B07JW9H4J872,"$5,799.00","$7,999.00",28%,4.50,"50,273",AHI2TJYEOS5WZ2OAP2BRD5PPXNCQ,"$2,200.00","$291,533,127.00",high rated,,
B07JW9H4J871,"$5,699.00","$11,000.00",48%,4.20,"4,003",AFTUS3YZBNWUVW7FV7AQ4O532UNQ,"$5,301.00","$22,813,097.00",high rated,,
B07JW9H4J870,"$5,599.00","$7,350.00",24%,4.40,"73,005",AFVKRRAFQOO6G7UIAK6H44N3AHUQ,"$1,751.00","$408,754,995.00",high rated,,
B07JW9H4J87,"$5,499.00","$13,150.00",58%,4.20,"6,398",AELHZH2PRVKJIVTQMABOTT6LUMBQ,"$7,651.00","$35,182,602.00",high rated,,
B07JW9H4J869,"$5,299.00","$6,355.00",17%,3.90,"8,280",AEZPN2FXQGKONKQKDSREETOWTLGQ,"$1,056.00","$43,875,720.00",need_improvement,,
B07JW9H4J867,"$4,999.00","$6,999.00",29%,3.80,758,AGIOL4B6EPMZ63RZQFWZWI33O2EA,"$2,000.00","$3,789,242.00",need_improvement,,
B07JW9H4J868,"$4,999.00","$12,499.00",60%,4.20,"4,541",AHHUP4DBXB2AQMEO27XIQ3DJSVDQ,"$7,500.00","$22,700,459.00",high rated,,
B07JW9H4J866,"$4,790.00","$15,990.00",70%,4.00,"4,390",AGQ3YJHNFI6CFAOTHMHNA3BEH4AQ,"$11,200.00","$21,028,100.00",high rated,,
B07JW9H4J864,"$4,699.00","$4,699.00",0%,4.50,224,AFE54I72EV2YOL6POJCHHP3Q5NWA,$0.00,"$1,052,576.00",high rated,,
B07JW9H4J862,"$4,499.00","$7,999.00",44%,3.50,37,AEACCLBAYRCRJLUMTQVS5JSOYYVA,"$3,500.00","$166,463.00",need_improvement,,
B07JW9H4J863,"$4,499.00","$5,999.00",25%,4.30,"44,696",AEBMJLSOXQ6R3AYV2E5IRO5ENPLQ,"$1,500.00","$201,087,304.00",high rated,,
B07JW9H4J861,"$4,449.00","$5,734.00",22%,4.40,"25,006",AGX7Q447BYAOPUPJVHUBUYDFSEGA,"$1,285.00","$111,251,694.00",high rated,,
B07JW9H4J860,"$4,098.00","$4,999.00",18%,4.50,"50,810",AF52SZE3RZ4OMSOTV2XLI7FOVKMA,$901.00,"$208,219,380.00",high rated,,
B07JW9H4J855,"$3,999.00","$16,999.00",76%,4.30,"17,159",AHSYI7EUDN2RNS2IPMGAS5MKLXPQ,"$13,000.00","$68,618,841.00",high rated,,
B07JW9H4J856,"$3,999.00","$9,999.00",60%,4.40,73,AGGDISUCB6COXRY7SCEYULDTYJSA,"$6,000.00","$291,927.00",high rated,,
B07JW9H4J857,"$3,999.00","$6,999.00",43%,4.10,"10,229",AF6F5SXN6WZEJUZNPNBN7WYT5HPQ,"$3,000.00","$40,905,771.00",high rated,,
B07JW9H4J858,"$3,999.00","$17,999.00",78%,4.30,"17,161",AHSVH7UVP3JM3CKGD7QPMP5ZXTNA,"$14,000.00","$68,626,839.00",high rated,,
